SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,Avg_Overall_%,Avg_Bull_%,Avg_Bear_%,SPXL,TQQQ,SOXL,SPXS,SQQQ,SOXS
False,True,False,False,True,False,True,40,60,6.685076958147125,44.76179700882356,-31.391643092529307,7.156630755924631,36.03749496261337,91.09126530793267,-14.717391370565814,-22.034163084672198,-57.423374822349906
False,False,False,False,False,False,True,40,60,5.6405583851416266,43.65709403672457,-32.37597726644132,20.44381371824173,36.03749496261337,74.4899734293186,-2.147373563679933,-29.751847704974665,-65.22871053066936
False,False,False,True,False,False,True,40,60,4.2678136028955125,16.481260892485206,-7.94563368669418,7.872723014644922,0.0,41.5710596628107,-4.474857607314819,0.08764585289218196,-19.449689305659902
False,False,False,True,False,False,True,30,70,4.196052163418135,16.481260892485206,-8.089156565648933,7.872723014644922,0.0,41.5710596628107,-4.905426244179079,0.08764585289218196,-19.449689305659902
False,False,False,False,True,False,True,40,60,3.885015219491186,36.05226148312634,-28.28223104414397,17.044583292466875,36.03749496261337,55.07470619429877,-6.590920719520499,-20.832397590561502,-57.423374822349906
False,True,False,False,True,False,False,40,60,3.58277897826556,37.76705434456684,-30.601496388035713,-2.0282186948853087,35.98757497744538,79.34180675114044,-15.887438388067077,-20.21409520230727,-55.7029555737328
False,False,False,False,True,False,False,30,70,3.2424046677663596,27.497148674281206,-21.012339338748486,10.42629721388999,6.021460754730024,66.04368805422361,-6.195133562218269,-20.17625861173997,-36.66562584228722
False,False,False,False,False,False,True,30,70,3.2194536787950816,34.977010272985495,-28.53810291539533,12.399776727379441,6.021460754730024,86.50979333684703,-2.5884330682560575,-34.74951154639111,-48.27636413153883
False,True,False,True,False,False,True,30,70,2.4663729355228483,16.19446342493787,-11.26171755389217,7.012330612002904,0.0,41.5710596628107,-14.624017376670828,0.2885540206542192,-19.449689305659902
False,True,False,True,False,False,True,40,60,2.1796662251721592,16.19446342493787,-11.835130974593548,7.012330612002904,0.0,41.5710596628107,-14.624017376670828,-1.4316862414499143,-19.449689305659902
False,False,False,False,True,False,True,30,70,1.8808270952508022,27.002042315571803,-23.2403881250702,9.227569462373687,6.021460754730024,65.7570967296117,-6.590920719520499,-26.46461781340288,-36.66562584228722
False,True,False,False,False,False,True,30,70,1.7210324329365487,33.181194901193315,-29.73913003532022,7.012330612002904,6.021460754730024,86.50979333684703,-14.624017376670828,-26.317008597751002,-48.27636413153883
False,True,False,False,False,False,True,40,60,0.838523816990263,34.19555010437724,-32.518502470396704,14.670807977213274,36.03749496261337,51.878347373305076,-10.292633795848571,-22.034163084672198,-65.22871053066936
False,True,False,False,True,False,False,30,70,0.40867019491432544,25.437054849472744,-24.619714459644097,-2.0282186948853087,6.021460754730024,72.31792248857352,-16.967323717738502,-20.22619381890656,-36.66562584228722
False,False,True,True,False,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,False,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,False,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,True,True,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,True,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,True,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,True,False,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,False,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,False,False,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,False,False,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,True,True,False,True,False,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,True,False,False,False,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,True,False,False,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,False,True,True,True,20,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,False,True,True,True,30,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True,False,False,False,True,True,True,40,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
