SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,Avg_Overall_%,Avg_Bull_%,Avg_Bear_%,SPXL,TQQQ,SOXL,SPXS,SQQQ,SOXS
False,False,False,True,False,False,False,30,70,10.904865130178296,2.4273209502864415,19.38240931007015,-4.638134843165487,-2.5634695529863083,14.48356724701112,-0.4057803570649221,-10.26572696308251,68.81873525035789
False,False,False,True,False,False,False,40,60,8.079522600129824,4.387136160132617,11.77190904012703,-3.604810518502488,2.2826517518892198,14.48356724701112,-0.4057803570649221,-8.29746132409247,44.018968801538485
True,False,False,False,True,False,False,40,60,7.978632470761237,24.494451292088062,-8.537186350565587,-0.04249347213252097,19.214692165186076,54.31115518321064,-12.916822552509299,-12.694736499187464,0.0
True,False,True,False,True,False,False,40,60,5.006879310729554,17.679402977889563,-7.665644356430453,-4.588282911457231,-3.7913442028281397,61.417836047954054,-12.916822552509299,-10.08011051678206,0.0
False,False,True,False,True,False,False,40,60,5.006879310729554,17.679402977889563,-7.665644356430453,-4.588282911457231,-3.7913442028281397,61.417836047954054,-12.916822552509299,-10.08011051678206,0.0
False,False,True,False,False,False,False,20,80,4.627805327432679,16.589147139361284,-7.333536484495926,4.798095451450535,7.703918210040284,37.26542775659303,-7.436534716169829,-14.564074737317945,0.0
True,False,True,False,False,False,False,20,80,4.627805327432679,16.589147139361284,-7.333536484495926,4.798095451450535,7.703918210040284,37.26542775659303,-7.436534716169829,-14.564074737317945,0.0
False,True,False,True,False,True,False,40,60,3.677264251502079,9.610921096413978,-2.256392593409821,18.819681154040822,10.013082135201113,0.0,0.0,-6.769177780229462,0.0
True,False,True,False,False,False,False,40,60,3.340610133320616,28.406421404641915,-21.725201138000685,-1.303694621023499,4.294104179670266,82.22885465527898,-15.47359129051552,-21.83310347603812,-27.86890864744841
True,False,True,False,False,False,False,30,70,3.2920978168702106,15.95302325673543,-9.368827622995008,2.225832742122935,8.367809271490323,37.26542775659303,-12.4205111094705,-15.685971759514528,0.0
False,False,True,False,False,False,False,30,70,3.2920978168702106,15.95302325673543,-9.368827622995008,2.225832742122935,8.367809271490323,37.26542775659303,-12.4205111094705,-15.685971759514528,0.0
True,False,True,False,False,False,True,30,70,3.166151861232455,11.721453169276375,-5.389149446811466,7.471963293401229,-16.388400609198683,44.08079682362658,-7.390919702764798,-8.7765286376696,0.0
False,True,False,True,False,False,False,40,60,2.998852829693478,4.9538515024338885,1.0438541569530686,3.3119683720975734,11.549586135204093,0.0,0.0,-0.18651498277361123,3.3180774536328173
True,False,False,False,False,False,False,40,60,2.8505938312184704,29.302442076046194,-23.601254413609258,-2.456036132669326,0.08546902507549081,90.27789333573241,-13.924508713784366,-22.801558164834056,-34.077696362209345
False,False,False,True,False,True,False,20,80,2.5173251360569284,5.197419360549338,-0.1627690884354808,0.0,0.0,15.592258081648014,0.0,0.0,-0.4883072653064424
False,False,True,False,False,False,True,30,70,2.5069370005263694,10.403023447864205,-5.389149446811466,3.5166741291647208,-16.388400609198683,44.08079682362658,-7.390919702764798,-8.7765286376696,0.0
False,False,True,False,False,False,False,40,60,2.470001242438584,28.406421404641915,-23.466418919764745,-1.303694621023499,4.294104179670266,82.22885465527898,-15.47359129051552,-27.056756821330307,-27.86890864744841
True,True,False,False,True,False,False,40,60,2.423272617971519,5.81578796871779,-0.9692427327747518,12.47907232490888,27.47584471773521,-22.50755313649072,0.0,-2.9077281983242553,0.0
False,True,True,True,False,True,True,40,60,2.122296817300447,4.244593634600894,0.0,12.733780903802682,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,True,False,40,60,2.122296817300447,4.244593634600894,0.0,12.733780903802682,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,True,True,40,60,2.0048575689116146,4.009715137823229,0.0,12.029145413469688,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,True,False,40,60,2.0048575689116146,4.009715137823229,0.0,12.029145413469688,0.0,0.0,0.0,0.0,0.0
False,True,False,True,False,True,True,40,60,1.708267429885631,5.6729274531810825,-2.256392593409821,18.819681154040822,-1.800898794497574,0.0,0.0,-6.769177780229462,0.0
False,True,True,True,False,False,False,40,60,1.510631398625776,3.021262797251552,0.0,9.063788391754656,0.0,0.0,0.0,0.0,0.0
False,True,True,True,False,False,True,40,60,1.510631398625776,3.021262797251552,0.0,9.063788391754656,0.0,0.0,0.0,0.0,0.0
False,False,True,True,False,False,True,40,60,0.954073987140891,1.908147974281782,0.0,12.029145413469688,-6.304701490624343,0.0,0.0,0.0,0.0
True,False,True,False,False,False,True,40,60,0.7572682868616086,6.903686020534683,-5.389149446811466,7.471963293401229,-16.388400609198683,29.6274953774015,-7.390919702764798,-8.7765286376696,0.0
False,True,True,False,False,False,False,30,70,0.7502487831208212,5.03536923270194,-3.534871666460297,-7.133782590047311,-7.609975054245533,29.84986534239866,-6.197690583017524,-4.406924416363367,0.0
True,True,False,False,True,False,False,30,70,0.538257423679204,1.076514847358408,0.0,12.47907232490888,-9.249527782833656,0.0,0.0,0.0,0.0
