SMA_200,VWAP,Fib_50,Bullish_Engulfing,Daily_Pivots,MACD,Vol_SMA,Stoch_Buy,Stoch_Sell,Avg_Overall_%,Avg_Bull_%,Avg_Bear_%,SPXL,SPXS
False,True,False,False,False,True,True,40,60,10.830821106748589,17.8463238211789,3.8153183923182787,17.8463238211789,3.8153183923182787
False,True,False,True,False,True,True,40,60,9.409840577020411,18.819681154040822,0.0,18.819681154040822,0.0
False,True,False,True,False,True,False,40,60,9.409840577020411,18.819681154040822,0.0,18.819681154040822,0.0
False,True,True,True,False,True,True,40,60,6.366890451901341,12.733780903802682,0.0,12.733780903802682,0.0
False,True,True,False,False,True,True,40,60,6.366890451901341,12.733780903802682,0.0,12.733780903802682,0.0
False,True,True,False,False,True,False,40,60,6.366890451901341,12.733780903802682,0.0,12.733780903802682,0.0
False,True,True,True,False,True,False,40,60,6.366890451901341,12.733780903802682,0.0,12.733780903802682,0.0
True,True,False,False,True,False,False,40,60,6.23953616245444,12.47907232490888,0.0,12.47907232490888,0.0
True,True,False,False,True,False,False,30,70,6.23953616245444,12.47907232490888,0.0,12.47907232490888,0.0
False,False,True,True,False,True,True,40,60,6.014572706734844,12.029145413469688,0.0,12.029145413469688,0.0
False,False,True,True,False,True,False,40,60,6.014572706734844,12.029145413469688,0.0,12.029145413469688,0.0
False,False,True,True,False,False,True,40,60,6.014572706734844,12.029145413469688,0.0,12.029145413469688,0.0
False,False,False,True,False,True,True,40,60,4.923008492745751,9.846016985491502,0.0,9.846016985491502,0.0
False,True,False,False,False,True,False,40,60,4.625430429695714,17.8463238211789,-8.59546296178747,17.8463238211789,-8.59546296178747
False,True,True,True,False,False,False,40,60,4.531894195877328,9.063788391754656,0.0,9.063788391754656,0.0
False,True,True,True,False,False,True,40,60,4.531894195877328,9.063788391754656,0.0,9.063788391754656,0.0
False,False,True,False,False,True,False,40,60,4.3847257201661,12.029145413469688,-3.2596939731374897,12.029145413469688,-3.2596939731374897
False,False,True,False,False,True,True,40,60,4.3847257201661,12.029145413469688,-3.2596939731374897,12.029145413469688,-3.2596939731374897
False,True,False,False,False,True,True,30,70,2.9402997340911563,3.3371751142239114,2.543424353958401,3.3371751142239114,2.543424353958401
False,False,False,True,False,True,False,40,60,2.8739592066611586,5.747918413322317,0.0,5.747918413322317,0.0
True,False,False,False,False,False,True,20,80,2.8287207644618952,10.519424223038953,-4.861982694115163,10.519424223038953,-4.861982694115163
True,False,True,False,False,False,True,20,80,2.8287207644618952,10.519424223038953,-4.861982694115163,10.519424223038953,-4.861982694115163
False,False,True,False,False,False,True,20,80,2.8287207644618952,10.519424223038953,-4.861982694115163,10.519424223038953,-4.861982694115163
False,True,False,False,False,False,True,30,70,2.0547472832870617,3.0057476911180547,1.1037468754560686,3.0057476911180547,1.1037468754560686
False,False,False,False,False,True,True,40,60,1.8497721467224943,11.954434712196305,-8.254890418751316,11.954434712196305,-8.254890418751316
False,False,False,True,False,False,False,20,80,1.76969549053122,0.0,3.53939098106244,0.0,3.53939098106244
False,False,False,False,True,True,True,30,70,1.6685875571119557,3.3371751142239114,0.0,3.3371751142239114,0.0
False,False,False,False,True,True,False,30,70,1.6685875571119557,3.3371751142239114,0.0,3.3371751142239114,0.0
False,True,False,False,True,True,True,30,70,1.6685875571119557,3.3371751142239114,0.0,3.3371751142239114,0.0
False,True,False,False,True,True,False,30,70,1.6685875571119557,3.3371751142239114,0.0,3.3371751142239114,0.0
False,True,False,True,False,False,False,40,60,1.6559841860487867,3.3119683720975734,0.0,3.3119683720975734,0.0
False,True,False,True,False,False,True,40,60,0.1404855008927952,0.2809710017855904,0.0,0.2809710017855904,0.0
True,False,False,False,False,False,True,40,60,0.04052179531821576,7.471963293401229,-7.390919702764798,7.471963293401229,-7.390919702764798
